FanID,Age
13,66
16,81
25,47
44,70
49,68
61,51
75,42
83,70
85,48
103,72
124,68
131,36
137,55
218,47
227,54
228,68
229,50
230,45
232,35
235,65
239,77
246,67
271,69
315,61
322,57
323,43
330,71
331,70
357,46
412,83
413,48
434,65
437,47
439,77
446,79
459,40
474,80
477,43
479,47
483,56
488,85
493,57
515,64
529,44
543,68
545,81
563,79
569,33
572,87
582,40
599,78
617,93
618,53
654,74
656,76
664,70
677,56
683,74
715,36
721,63
736,78
737,40
740,76
770,53
789,49
799,39
800,44
802,61
810,89
832,39
852,38
853,67
856,40
892,45
911,62
919,37
921,62
924,38
964,56
1013,56
1034,52
1045,64
1081,43
1199,56
1202,99
1222,72
1228,49
1246,55
1250,44
1254,36
1264,56
1329,42
1338,64
1352,34
1377,40
1413,55
1445,64
1506,75
1518,74
1539,81
1542,68
1548,67
1562,72
1573,60
1610,72
1622,93
1625,76
1627,40
1642,57
1651,58
1658,40
1672,77
1719,45
1779,70
1785,82
1788,42
1797,77
1800,35
1802,54
1813,46
1837,40
1838,59
1881,42
1891,71
1902,53
1904,36
1938,65
1948,46
1949,40
1959,76
1991,75
2006,59
2034,74
2039,40
2044,39
2049,49
2050,42
2054,93
2064,70
2077,62
2104,71
2111,63
2114,38
2127,73
2139,43
2189,79
2192,69
2198,86
2226,55
2230,39
2238,70
2245,47
2247,76
2256,88
2268,60
2285,38
2287,36
2300,83
2307,78
2311,36
2317,37
2343,46
2351,39
2375,72
2386,40
2394,71
2416,41
2430,79
2448,49
2457,95
2459,41
2488,91
2498,70
2509,39
2516,75
2532,81
2542,69
2548,67
2561,80
2566,50
2569,36
2571,78
2592,54
2597,63
2599,72
2609,50
2610,54
2638,68
2656,41
2658,78
2664,54
2667,52
2675,50
2678,66
2689,43
2717,58
2728,45
2733,57
2740,48
2746,41
2770,59
2772,50
2773,71
2791,54
2816,41
2821,89
2822,64
2827,47
2840,78
2842,70
2860,69
2874,50
2896,73
2904,77
2950,54
2959,56
2979,73
2992,46
3018,61
3055,73
3065,81
3081,61
3084,66
3085,68
3095,83
3151,70
3163,62
3171,45
3178,71
3239,70
3255,71
3274,73
3277,34
3343,61
3354,42
3387,50
3391,67
3395,51
3441,66
3448,56
3467,83
3476,83
3482,41
3508,74
3512,38
3525,47
3528,81
3536,74
3562,74
3563,46
3624,79
3628,48
3631,44
3638,59
3639,58
3644,39
3651,67
3658,66
3661,59
3668,68
3671,57
3689,37
3695,38
3700,73
3701,41
3710,68
3730,43
3732,58
3738,45
3742,49
3751,72
3760,79
3764,72
3765,40
3771,61
3777,38
3801,79
3876,83
3900,60
3906,80
3909,59
3914,63
3930,76
3951,74
3967,70
3968,75
3987,52
3996,80
4005,74
4034,58
4040,53
4061,39
4065,50
4067,81
4070,67
4076,57
4099,48
4101,68
4105,56
4107,50
4109,79
4121,68
4122,62
4124,40
4136,47
4165,52
4168,75
4174,65
4186,55
4187,84
4204,35
4206,45
4207,47
4213,67
4229,73
4238,82
4273,65
4277,81
4292,73
4300,46
4311,38
4312,74
4318,61
4322,69
4326,42
4335,35
4362,57
4364,59
4378,64
4417,92
4420,71
4428,77
4432,69
4448,80
4497,74
4503,50
4511,65
4514,73
4534,37
4538,35
4541,74
4549,36
4550,74
4552,38
4555,39
4563,35
4565,66
4573,39
4579,43
4588,59
4596,77
4597,75
4605,87
4633,78
4657,92
4738,31
4739,55
4750,35
4751,51
4755,75
4761,67
4763,42
4829,39
