FanID,Institution,EducationStatus,EducationDate,Degree,DegreeType,College,Division,Department
13,Florida State University,Graduated,1980-06-01T00:00:00.000000000,Associate of Arts,PRIMARY,Business,Marketing,Marketing
16,Florida State University,Graduated,1970-06-01T00:00:00.000000000,Juris Doctor,PRIMARY,College of Law,Law School,Law
25,Florida State University,Graduated,2000-04-29T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Communication,Communication/Business
49,Florida State University,Graduated,1980-06-01T00:00:00.000000000,Associate of Arts,PRIMARY,Business,Accounting,Accounting
49,Florida State University,Graduated,1980-03-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
61,Florida State University,Graduated,1996-04-27T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Biological Sciences,Biological Science
83,Florida State University,Graduated,1989-04-29T00:00:00.000000000,Bachelor of Science in Nursing,PRIMARY,Nursing,Nursing,Nursing
85,Florida State University,Graduated,2000-04-29T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Management,Management
85,Florida State University,Graduated,2004-05-01T00:00:00.000000000,Master of Business Administration,PRIMARY,Business,Business Administration,Business Administration
103,Florida State University,Graduated,1976-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Psychology,Psychology
124,Florida State University,Graduated,1999-12-18T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Social Sciences,Social Science
137,Florida State University,Graduated,1992-04-25T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Communication,Communication Studies
227,Florida State University,Graduated,1993-05-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Communication,General Communication
227,Florida State University,Graduated,1991-12-14T00:00:00.000000000,Associate of Arts,PRIMARY,Communication & Information,Communication,General Communication
229,Florida State University,Graduated,1997-04-26T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
232,Florida State University,Graduated,2012-12-15T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences","Nutrition, Food & Exercise Sci",Exercise Science
232,Florida State University,Incomplete,,,PRIMARY,"Education, Health, and Human Sciences","Nutrition, Food & Exercise Sci",Exercise Science
235,Florida State University,Graduated,1984-05-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Fine Arts,Interior Design,Interior Design
239,University Of North Carolina At Chapel Hill,Graduated,,,,,,
246,Florida State University,Graduated,1985-04-01T00:00:00.000000000,Juris Doctor,PRIMARY,College of Law,Law School,Law
246,Florida State University,Graduated,1980-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Political Science,Political Science
264,Florida State University,Graduated,1975-03-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
271,Florida State University,Incomplete,,,PRIMARY,Undergraduate Studies,Undergraduate Studies,Undecided
298,Florida State University,Incomplete,,,,,,
330,Florida State University,Graduated,1977-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Psychology,Psychology
330,Florida State University,Graduated,1985-04-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Mathematics,Mathematics
331,Florida State University,Graduated,1977-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
357,Florida State University,Graduated,2001-12-15T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
412,Florida State University,Graduated,1964-04-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
413,Florida State University,Graduated,1999-05-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Arts & Sciences,Chemistry,Biochemistry
434,Florida State University,Graduated,1983-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Work,Social Work,Social Work
437,Florida State University,Graduated,2000-04-29T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Social Sciences,Social Science
437,Florida State University,Graduated,2002-08-16T00:00:00.000000000,Master of Science,PRIMARY,Social Sciences,Social Sciences,Social Science
439,Florida State University,Graduated,1971-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Sports Management,Physical Education
459,Florida State University,Graduated,2008-04-26T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Early Childhood Ed
459,Florida State University,Graduated,2009-05-02T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Early Childhood Ed
474,Florida State University,Graduated,1967-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
474,Florida State University,Graduated,1970-03-01T00:00:00.000000000,Juris Doctor,PRIMARY,College of Law,Law School,Law
477,Florida State University,Graduated,2004-05-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Sports Management,Sport Management
477,Florida State University,Graduated,2006-04-29T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Sports Management,"Recreation, Tourism, Events"
479,Florida State University,Graduated,2000-04-29T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
488,Florida State University,Graduated,1974-06-01T00:00:00.000000000,Bachelor of Science,,,,
493,Florida State University,Graduated,1991-12-14T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
515,Florida State University,Graduated,1983-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
526,Florida State University,Graduated,1966-04-01T00:00:00.000000000,Bachelor of Arts,PRIMARY,Arts & Sciences,History,History
529,Florida State University,Graduated,2003-08-19T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
529,Florida State University,Graduated,2005-04-30T00:00:00.000000000,Master of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
529,Florida State University,Graduated,2002-12-14T00:00:00.000000000,Associate of Arts,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
545,Florida State University,Graduated,1965-12-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Education,Education
563,Florida State University,Graduated,1971-08-01T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Mathematics Education
563,Florida State University,Graduated,1968-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Mathematics Education
569,Florida State University,Graduated,2014-05-02T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences","Nutrition, Food & Exercise Sci",Athletic Training
572,Florida State University,Graduated,1974-06-01T00:00:00.000000000,Bachelor of Social Welfare,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
599,University Of West Florida,Graduated,,Bachelor of Science,,,,
599,Florida State University,Graduated,2009-05-02T00:00:00.000000000,Doctor of Philosophy,PRIMARY,Social Sciences,Public Administration,Public Administration
599,Florida State University,Graduated,1987-12-12T00:00:00.000000000,Master of Public Administration,PRIMARY,Social Sciences,Public Administration,Public Administration
