FanID,IWave_Properties,IWave_PropertiesValue,IWave_AnnualCapacity,IWave_AnnualCapacityTargetProduction
13,0.0,,,
16,0.0,,,
25,1.0,1226000.0,15000.0,2550.0
44,1.0,868400.0,9118.0,1550.06
46,0.0,,,
49,2.0,600336.0,7500.0,1275.0
61,3.0,2967800.0,58857.0,10005.69
75,0.0,,,
83,0.0,,200.0,34.0
85,0.0,,,
103,1.0,697400.0,7500.0,1275.0
124,1.0,450.0,4.0,0.68
131,0.0,,2750.0,467.5
137,1.0,747000.0,7843.0,1333.31
218,1.0,194400.0,1500.0,255.0
220,1.0,312700.0,625.0,106.25
222,0.0,,,
227,1.0,364500.0,3000.0,510.0
228,0.0,,3500.0,595.0
229,1.0,509300.0,10695.0,1818.15
230,1.0,70600.0,141.0,23.97
232,1.0,2087800.0,32882.0,5589.94
235,1.0,639400.0,6394.0,1086.98
239,2.0,5343978.0,135781.0,23082.77
246,0.0,,,
264,0.0,,,
271,1.0,379200.0,1896.0,322.32
298,1.0,545000.0,14306.0,2432.02
315,0.0,,,
319,1.0,633800.0,7500.0,1275.0
322,0.0,,,
323,0.0,,11250.0,1912.5
328,0.0,,,
330,1.0,428000.0,4500.0,765.0
331,1.0,577700.0,5777.0,982.09
357,1.0,663900.0,7500.0,1275.0
374,0.0,,,
375,0.0,,,
408,3.0,988489.0,14820.0,2519.4
412,1.0,348300.0,3000.0,510.0
413,1.0,1256000.0,12560.0,2135.2
414,0.0,,,
421,,,,
428,1.0,380900.0,4000.0,680.0
434,0.0,,,
437,1.0,228900.0,457.0,77.69
439,1.0,379400.0,3500.0,595.0
446,1.0,389800.0,4093.0,695.81
451,0.0,,,
459,1.0,388500.0,1942.0,330.14
474,0.0,,,
477,0.0,,,
479,0.0,,,
481,0.0,,,
483,0.0,,,
488,54.0,3021814.0,38075.0,6472.75
492,1.0,124739.0,1309.0,222.53
493,1.0,412300.0,865.0,147.05
494,2.0,638343.0,7500.0,1275.0
504,1.0,421300.0,4423.0,751.91
515,0.0,,,
526,0.0,,,
528,1.0,639400.0,7500.0,1275.0
529,1.0,534100.0,5608.0,953.36
531,1.0,1622700.0,20000.0,3400.0
535,0.0,,,
543,1.0,667600.0,6676.0,1134.92
545,3.0,775980.0,5046.0,857.82
563,1.0,493000.0,4930.0,838.1
569,1.0,371000.0,3000.0,510.0
572,1.0,374600.0,1966.0,334.22
582,1.0,312400.0,624.0,106.08
599,1.0,625100.0,9845.0,1673.65
617,0.0,,2750.0,467.5
618,1.0,847700.0,11250.0,1912.5
625,1.0,361500.0,3615.0,614.55
626,0.0,,,
628,0.0,,,
644,1.0,664300.0,6975.0,1185.75
654,0.0,,11250.0,1912.5
656,1.0,604900.0,6351.0,1079.67
664,1.0,633800.0,6655.0,1131.35
671,1.0,734100.0,7708.0,1310.36
677,2.0,2644590.0,43112.0,7329.04
