FanID,DriveYear,predicted_amount,pct_years_met_commitment,high_amount,high_reliability,quadrant
13,2023,3553.925,100.0,True,True,VIP — Prioridad Máxima
16,2022,544.33704,100.0,False,True,Base Estable
25,2024,3013.926,87.5,True,False,Alto Potencial — Requiere Seguimiento
46,2017,965.4113,100.0,False,True,Base Estable
49,2024,3733.8179,100.0,True,True,VIP — Prioridad Máxima
61,2024,1726.6837,100.0,True,True,VIP — Prioridad Máxima
75,2022,1311.7697,100.0,True,True,VIP — Prioridad Máxima
83,2024,338.4808,100.0,False,True,Base Estable
124,2025,6827.845,100.0,True,True,VIP — Prioridad Máxima
131,2018,724.5561,100.0,False,True,Base Estable
137,2024,790.3059,100.0,False,True,Base Estable
227,2024,4875.173,100.0,True,True,VIP — Prioridad Máxima
229,2024,5487.5703,100.0,True,True,VIP — Prioridad Máxima
315,2024,144.84535,100.0,False,True,Base Estable
323,2024,100.961586,100.0,False,True,Base Estable
331,2025,77.45775,100.0,False,True,Base Estable
357,2024,665.8355,100.0,False,True,Base Estable
374,2024,2296.4846,100.0,True,True,VIP — Prioridad Máxima
413,2022,2075.7666,100.0,True,True,VIP — Prioridad Máxima
439,2024,1118.8434,100.0,False,True,Base Estable
446,2024,1455.2395,100.0,True,True,VIP — Prioridad Máxima
459,2024,661.09875,100.0,False,True,Base Estable
474,2017,107.4829,100.0,False,True,Base Estable
488,2024,12908.284,100.0,True,True,VIP — Prioridad Máxima
492,2023,731.69586,0.0,False,False,Baja Prioridad
494,2018,880.7756,100.0,False,True,Base Estable
515,2024,343.78244,100.0,False,True,Base Estable
528,2018,825.7601,100.0,False,True,Base Estable
563,2023,263.41312,100.0,False,True,Base Estable
569,2024,1156.583,85.71428571428571,False,False,Baja Prioridad
582,2024,284.9443,100.0,False,True,Base Estable
599,2023,650.0719,100.0,False,True,Base Estable
618,2018,3844.301,100.0,True,True,VIP — Prioridad Máxima
671,2016,3125.828,100.0,True,True,VIP — Prioridad Máxima
721,2023,1823.0209,100.0,True,True,VIP — Prioridad Máxima
736,2024,638.09735,100.0,False,True,Base Estable
737,2024,493.49496,80.0,False,False,Baja Prioridad
770,2024,330.8146,100.0,False,True,Base Estable
789,2017,689.87714,100.0,False,True,Base Estable
800,2024,1657.4371,87.5,True,False,Alto Potencial — Requiere Seguimiento
802,2020,5463.78,100.0,True,True,VIP — Prioridad Máxima
810,2023,1309.5038,100.0,True,True,VIP — Prioridad Máxima
1034,2024,1438.1777,100.0,True,True,VIP — Prioridad Máxima
1045,2024,1482.3541,90.0,True,False,Alto Potencial — Requiere Seguimiento
1098,2024,882.5374,100.0,False,True,Base Estable
1199,2024,383.82837,100.0,False,True,Base Estable
1228,2021,1676.2024,100.0,True,True,VIP — Prioridad Máxima
1264,2024,96.92817,100.0,False,True,Base Estable
1283,2020,62.08281,100.0,False,True,Base Estable
1329,2024,1931.3553,100.0,True,True,VIP — Prioridad Máxima
1506,2016,692.60297,100.0,False,True,Base Estable
1518,2021,1370.3746,100.0,True,True,VIP — Prioridad Máxima
1532,2023,9081.946,100.0,True,True,VIP — Prioridad Máxima
1542,2024,401.18204,100.0,False,True,Base Estable
1562,2016,1161.577,100.0,False,True,Base Estable
1607,2016,1007.022,100.0,False,True,Base Estable
1622,2024,1147.003,100.0,False,True,Base Estable
1691,2017,378.98712,100.0,False,True,Base Estable
1788,2025,459.91406,100.0,False,True,Base Estable
1797,2014,6164.3774,,True,False,Alto Potencial — Requiere Seguimiento
