FanID,Board,Role,StartDate,EndDate,Current
747711,Seminole Boosters Board of Directors,At-Large,1989-01-01T00:00:00.000000000,1991-12-31T00:00:00.000000000,false
745863,Seminole Boosters Board of Directors,At-Large,1999-01-01T00:00:00.000000000,2001-12-31T00:00:00.000000000,false
745863,Seminole Boosters Board of Directors,At-Large,2002-01-01T00:00:00.000000000,2004-12-31T00:00:00.000000000,false
771094,Seminole Boosters Board of Directors,At-Large,2023-07-01T00:00:00.000000000,,true
594209,Seminole Boosters Board of Directors,Ex-Officio,2019-01-30T00:00:00.000000000,2020-02-18T00:00:00.000000000,false
448967,Seminole Boosters Board of Directors,Ex-Officio,2020-02-18T00:00:00.000000000,2021-06-30T00:00:00.000000000,false
72283277,Seminole Boosters Board of Directors,Ex-Officio,2021-07-01T00:00:00.000000000,2022-06-30T00:00:00.000000000,false
276213786,Seminole Boosters Board of Directors,,,,true
561275,Seminole Boosters Board of Directors,At-Large,2019-07-01T00:00:00.000000000,2025-06-30T00:00:00.000000000,false
413324,Seminole Boosters Board of Directors,Ex-Officio,2022-07-01T00:00:00.000000000,2022-12-30T00:00:00.000000000,false
276238864,Seminole Boosters Board of Directors,Ex-Officio,2023-01-01T00:00:00.000000000,2023-12-31T00:00:00.000000000,false
593225,Seminole Boosters Board of Directors,Ex-Officio,2022-01-03T00:00:00.000000000,,true
685554,Seminole Boosters Board of Directors,Ex-Officio - University President/Designee,2021-09-09T00:00:00.000000000,,true
292609465,Seminole Boosters Board of Directors,,,,false
102458,Seminole Boosters Board of Directors,At-Large,1995-01-01T00:00:00.000000000,1997-12-31T00:00:00.000000000,false
102458,Seminole Boosters Board of Directors,At-Large,1998-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,false
462802,Seminole Boosters Board of Directors,At-Large,1982-01-01T00:00:00.000000000,1984-12-31T00:00:00.000000000,false
462802,Seminole Boosters Board of Directors,At-Large,1985-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,false
106458246,Seminole Boosters Board of Directors,Ex-Officio,2002-01-01T00:00:00.000000000,2002-12-31T00:00:00.000000000,false
106458499,Seminole Boosters Board of Directors,Ex-Officio,1985-01-01T00:00:00.000000000,1991-12-31T00:00:00.000000000,false
560266,Seminole Boosters Board of Directors,Ex-Officio,2016-07-01T00:00:00.000000000,2020-06-30T00:00:00.000000000,false
133536,Seminole Boosters Board of Directors,At-Large,1993-01-01T00:00:00.000000000,1995-12-31T00:00:00.000000000,false
133536,Seminole Boosters Board of Directors,At-Large,1996-01-01T00:00:00.000000000,1998-12-31T00:00:00.000000000,false
54564,Seminole Boosters Board of Directors,At-Large,1983-01-01T00:00:00.000000000,1983-12-31T00:00:00.000000000,true
54564,Seminole Boosters Board of Directors,Chair-Elect,1986-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,true
54564,Seminole Boosters Board of Directors,Ex-Officio,1984-01-01T00:00:00.000000000,1985-12-31T00:00:00.000000000,true
54564,Seminole Boosters Board of Directors,Past Chairman,1988-01-01T00:00:00.000000000,,true
762950,Seminole Boosters Board of Directors,Ex-Officio,2018-07-01T00:00:00.000000000,2022-01-25T00:00:00.000000000,false
212221,Seminole Boosters Board of Directors,At-Large,1984-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,false
212221,Seminole Boosters Board of Directors,At-Large,1987-01-01T00:00:00.000000000,1988-12-31T00:00:00.000000000,false
483076,Seminole Boosters Board of Directors,Ex-Officio,1992-01-01T00:00:00.000000000,2002-12-31T00:00:00.000000000,false
172065960,Seminole Boosters Board of Directors,At-Large,1981-01-01T00:00:00.000000000,1984-12-31T00:00:00.000000000,false
172065960,Seminole Boosters Board of Directors,At-Large,2012-07-01T00:00:00.000000000,2018-06-30T00:00:00.000000000,false
752157,Seminole Boosters Board of Directors,At-Large,2017-07-01T00:00:00.000000000,2020-02-01T00:00:00.000000000,true
752157,Seminole Boosters Board of Directors,Ex-Officio,2020-02-01T00:00:00.000000000,,true
578846,Seminole Boosters Board of Directors,At-Large,1994-01-01T00:00:00.000000000,2005-12-31T00:00:00.000000000,false
145100,Seminole Boosters Board of Directors,Ex-Officio,2000-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,false
161800,Seminole Boosters Board of Directors,At-Large,1994-01-01T00:00:00.000000000,1995-12-31T00:00:00.000000000,false
275992001,Seminole Boosters Board of Directors,At-Large,1978-01-01T00:00:00.000000000,1980-12-31T00:00:00.000000000,false
754973,Seminole Boosters Board of Directors,Ex-Officio,2008-07-01T00:00:00.000000000,2010-07-01T00:00:00.000000000,false
686372,Seminole Boosters Board of Directors,At-Large,1999-01-01T00:00:00.000000000,2001-12-31T00:00:00.000000000,false
686372,Seminole Boosters Board of Directors,At-Large,2002-01-01T00:00:00.000000000,2002-12-31T00:00:00.000000000,false
106458451,Seminole Boosters Board of Directors,At-Large,1982-01-01T00:00:00.000000000,1984-12-31T00:00:00.000000000,false
106458451,Seminole Boosters Board of Directors,At-Large,1985-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,false
543228,Seminole Boosters Board of Directors,Past Chairman,1972-01-01T00:00:00.000000000,2017-07-18T00:00:00.000000000,false
54782,Seminole Boosters Board of Directors,At-Large,2001-01-01T00:00:00.000000000,2003-12-31T00:00:00.000000000,false
54782,Seminole Boosters Board of Directors,At-Large,2018-07-01T00:00:00.000000000,2024-06-30T00:00:00.000000000,false
274495734,Seminole Boosters Board of Directors,At-Large,1998-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,false
274495734,Seminole Boosters Board of Directors,Ex-Officio,2001-01-01T00:00:00.000000000,2014-06-30T00:00:00.000000000,false
281020483,Seminole Boosters Board of Directors,At-Large,2010-07-01T00:00:00.000000000,2013-06-30T00:00:00.000000000,false
281020483,Seminole Boosters Board of Directors,At-Large,2013-07-01T00:00:00.000000000,2016-06-30T00:00:00.000000000,false
95980,Seminole Boosters Board of Directors,At-Large,1993-01-01T00:00:00.000000000,1993-12-31T00:00:00.000000000,false
170030,Seminole Boosters Board of Directors,At-Large,1985-01-01T00:00:00.000000000,1987-12-31T00:00:00.000000000,false
170030,Seminole Boosters Board of Directors,At-Large,1988-01-01T00:00:00.000000000,1989-12-31T00:00:00.000000000,false
578848,Seminole Boosters Board of Directors,Ex-Officio,1980-01-01T00:00:00.000000000,2018-06-29T00:00:00.000000000,false
754590,Seminole Boosters Board of Directors,At-Large,1979-01-01T00:00:00.000000000,1983-12-31T00:00:00.000000000,false
754590,Seminole Boosters Board of Directors,At-Large,1984-01-01T00:00:00.000000000,1988-12-31T00:00:00.000000000,false
158264,Seminole Boosters Board of Directors,At-Large,1987-01-01T00:00:00.000000000,1990-12-31T00:00:00.000000000,false
158264,Seminole Boosters Board of Directors,At-Large,1991-01-01T00:00:00.000000000,1993-12-31T00:00:00.000000000,false
2364,Seminole Boosters Board of Directors,At-Large,1983-01-01T00:00:00.000000000,1985-12-31T00:00:00.000000000,false
2364,Seminole Boosters Board of Directors,At-Large,1986-01-01T00:00:00.000000000,1988-12-31T00:00:00.000000000,false
305278959,Seminole Boosters Board of Directors,At-Large,2000-01-01T00:00:00.000000000,2002-12-31T00:00:00.000000000,false
641981,Seminole Boosters Board of Directors,At-Large,2004-01-01T00:00:00.000000000,2007-06-30T00:00:00.000000000,false
641981,Seminole Boosters Board of Directors,At-Large,2007-07-01T00:00:00.000000000,2010-06-30T00:00:00.000000000,false
12555,Seminole Boosters Board of Directors,At-Large,1999-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,false
12555,Seminole Boosters Board of Directors,At-Large,2002-01-01T00:00:00.000000000,2003-12-31T00:00:00.000000000,false
666000,Seminole Boosters Board of Directors,Ex-Officio,1992-01-01T00:00:00.000000000,1992-12-31T00:00:00.000000000,false
122315,Seminole Boosters Board of Directors,At-Large,1993-01-01T00:00:00.000000000,1995-12-31T00:00:00.000000000,true
122315,Seminole Boosters Board of Directors,At-Large,1996-01-01T00:00:00.000000000,1998-12-31T00:00:00.000000000,true
122315,Seminole Boosters Board of Directors,At-Large,1999-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,true
122315,Seminole Boosters Board of Directors,At-Large,2004-01-01T00:00:00.000000000,2005-12-31T00:00:00.000000000,true
122315,Seminole Boosters Board of Directors,Ex-Officio,2006-01-01T00:00:00.000000000,2007-06-30T00:00:00.000000000,true
122315,Seminole Boosters Board of Directors,Past Chairman,2009-07-01T00:00:00.000000000,,true
106458403,Seminole Boosters Board of Directors,At-Large,1986-01-01T00:00:00.000000000,1988-12-31T00:00:00.000000000,false
106458403,Seminole Boosters Board of Directors,At-Large,1989-01-01T00:00:00.000000000,1991-12-31T00:00:00.000000000,false
191889,Seminole Boosters Board of Directors,At-Large,1999-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,true
191889,Seminole Boosters Board of Directors,Chair-Elect,2001-01-01T00:00:00.000000000,2001-12-31T00:00:00.000000000,true
191889,Seminole Boosters Board of Directors,Past Chairman,2003-01-01T00:00:00.000000000,,true
767645,Seminole Boosters Board of Directors,At-Large,1985-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,false
582845,Seminole Boosters Board of Directors,At-Large,1978-01-01T00:00:00.000000000,1982-12-31T00:00:00.000000000,false
578850,Seminole Boosters Board of Directors,At-Large,1996-01-01T00:00:00.000000000,1998-12-31T00:00:00.000000000,false
578850,Seminole Boosters Board of Directors,At-Large,1999-01-01T00:00:00.000000000,2001-12-31T00:00:00.000000000,false
578850,Seminole Boosters Board of Directors,Chair-Elect,2002-01-01T00:00:00.000000000,2002-12-31T00:00:00.000000000,false
578850,Seminole Boosters Board of Directors,Ex-Officio,2004-01-01T00:00:00.000000000,2008-06-30T00:00:00.000000000,false
597732,Seminole Boosters Board of Directors,At-Large,1997-01-01T00:00:00.000000000,1999-12-31T00:00:00.000000000,false
597732,Seminole Boosters Board of Directors,At-Large,2000-01-01T00:00:00.000000000,2002-12-31T00:00:00.000000000,false
673210,Seminole Boosters Board of Directors,At-Large,1978-01-01T00:00:00.000000000,1982-12-31T00:00:00.000000000,false
776622,Seminole Boosters Board of Directors,At-Large,1984-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,false
776622,Seminole Boosters Board of Directors,At-Large,1987-01-01T00:00:00.000000000,1989-12-31T00:00:00.000000000,false
213323,Seminole Boosters Board of Directors,At-Large,1998-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,false
213323,Seminole Boosters Board of Directors,At-Large,2001-01-01T00:00:00.000000000,2003-12-31T00:00:00.000000000,false
778931,Seminole Boosters Board of Directors,At-Large,1978-01-01T00:00:00.000000000,1984-12-31T00:00:00.000000000,true
778931,Seminole Boosters Board of Directors,Chair-Elect,1985-01-01T00:00:00.000000000,1985-12-31T00:00:00.000000000,true
778931,Seminole Boosters Board of Directors,Past Chairman,1987-01-01T00:00:00.000000000,,true
124123785,Seminole Boosters Board of Directors,Ex-Officio,2004-01-01T00:00:00.000000000,2004-12-31T00:00:00.000000000,false
124123785,Seminole Boosters Board of Directors,Ex-Officio,2005-01-01T00:00:00.000000000,2005-12-31T00:00:00.000000000,false
26814,Seminole Boosters Board of Directors,At-Large,1995-01-01T00:00:00.000000000,1997-12-31T00:00:00.000000000,false
